id,filename,relpath,source,meter,mode_or_key,bars,duration_sec,notes
A001,01_assoulis.mid,data/raw1/01_assoulis.mid,manual,,,,11.81,
A002,02_abrani_shoror.mid,data/raw1/02_abrani_shoror.mid,manual,,,,75.71,
A003,03_aghchka_jerazanke.mid,data/raw1/03_aghchka_jerazanke.mid,manual,,,,106.43,
A004,04_ambee-dageets.mid,data/raw1/04_ambee-dageets.mid,manual,,,,76.0,
A005,05_armenian-miserlou.mid,data/raw1/05_armenian-miserlou.mid,manual,,,,79.17,
A006,06_armenian-turns.mid,data/raw1/06_armenian-turns.mid,manual,,,,24.0,
A007,07_asmar_aghchik.mid,data/raw1/07_asmar_aghchik.mid,manual,,,,45.71,
A008,08_bar.mid,data/raw1/08_bar.mid,manual,,,,16.0,
A009,09_barsgeren_yeghanag.mid,data/raw1/09_barsgeren_yeghanag.mid,manual,,,,26.67,
A010,10_daronee.mid,data/raw1/10_daronee.mid,manual,,,,73.0,
A011,11_garoon.mid,data/raw1/11_garoon.mid,manual,,,,95.62,
A012,12_guhneega.mid,data/raw1/12_guhneega.mid,manual,,,,51.87,
A013,13_harimon.mid,data/raw1/13_harimon.mid,manual,,,,26.67,
A014,14_jojon.mid,data/raw1/14_jojon.mid,manual,,,,39.87,
A015,15_kafan.mid,data/raw1/15_kafan.mid,manual,,,,43.0,
A016,16_karsi_bar.mid,data/raw1/16_karsi_bar.mid,manual,,,,104.0,
A017,17_laz_bar.mid,data/raw1/17_laz_bar.mid,manual,,,,100.43,
A018,18_loree.mid,data/raw1/18_loree.mid,manual,,,,57.07,
A019,19_lorik_jan.mid,data/raw1/19_lorik_jan.mid,manual,,,,33.33,
A020,20_lorke_lorke.mid,data/raw1/20_lorke_lorke.mid,manual,,,,54.86,
A021,21_manjaren.mid,data/raw1/21_manjaren.mid,manual,,,,38.16,
A022,22_mbarerk.mid,data/raw1/22_mbarerk.mid,manual,,,,43.2,
A023,23_medax_tashginag.mid,data/raw1/23_medax_tashginag.mid,manual,,,,15.75,
A024,24_mgolkhoz.mid,data/raw1/24_mgolkhoz.mid,manual,,,,57.6,
A025,25_mom_bar.mid,data/raw1/25_mom_bar.mid,manual,,,,25.0,
A026,26_nino.mid,data/raw1/26_nino.mid,manual,,,,34.91,
